DIPOLO COWS NORTE-SUR,,,,,,
N,a [m],n [m],AB/2 [m],R [rho],Resistivity [ohm/m],Conductivity [S/m]
1,1,0.5,1,128.4,302.5353725,0.003305399
2,1,1,1.5,62.4,392.0707632,0.00255056
3,1,1.5,2,37.4,440.6083697,0.002269589
4,1,2.5,3,17.78,488.7532771,0.002046022
5,1,3.5,4,9.91,490.3476354,0.002039369
6,1,4.5,5,5.55,431.5370209,0.002317298
7,1,5.5,6,3.48,390.845542,0.002558555
8,1,6.5,7,1.51,231.2604892,0.004324128
9,1,7.5,8,0.98,196.271001,0.005094996
10,1,8.5,9,0.41,104.0102788,0.009614434
11,1,9.5,10,0,0,
12,1,10.5,11,0,0,
,,,,,,
,,,,,,
DIPOLO COWS ESTE-OESTE,,,,,,
N,a [m],n [m],AB/2 [m],R [rho],Resistivity [ohm/m],Conductivity [S/m]
1,1,0.5,1,146.4,344.9468734,0.002898997
2,1,1,1.5,63.5,398.982267,0.002506377
3,1,1.5,2,38.6,454.7455366,0.002199032
4,1,2.5,3,18.42,506.3461959,0.001974933
5,1,3.5,4,10.27,508.1604657,0.001967882
6,1,4.5,5,5.83,453.308258,0.002206004
7,1,5.5,6,4.13,463.8483013,0.002155877
8,1,6.5,7,3.1,474.7731898,0.002106269
9,1,7.5,8,1.63,326.4507466,0.003063249
10,1,8.5,9,,0,
11,1,9.5,10,,0,
12,1,10.5,11,,0,
,,,,,,
,,,,,,
MONOPOLO COWS NORTE-SUR,,,,,,
N,a [m],n [m],AB/2 [m],R [rho],Resistivity [ohm/m],Conductivity [S/m]
1,1,0.5,1,377,888.2853228,0.001125764
2,1,1,1.5,182,1143.539726,0.000874478
3,1,1.5,2,114.9,1353.633735,0.000738752
4,1,2.5,3,59,1621.847207,0.000616581
5,1,3.5,4,32.5,1608.10274,0.000621851
6,1,4.5,5,20.73,1611.849089,0.000620405
7,1,5.5,6,11.63,1306.187832,0.000765587
8,1,6.5,7,7.19,1101.167495,0.000908127
9,1,7.5,8,4.7,941.2996988,0.001062361
10,1,8.5,9,3.22,816.8612138,0.001224198
11,1,9.5,10,1.47,460.6595848,0.0021708
12,1,10.5,11,1.05,398.3146786,0.002510578
13,1,11.5,12,0,0,
,,,,,,
,,,,,,
DIPOLO JACKPOT NORTE-SUR,,,,,,
N,a [m],n [m],AB/2 [m],R [rho],Resistivity [ohm/m],Conductivity [S/m]
1,1,0.5,1,11.83,27.87378082,0.035876009
2,1,1,1.5,4.65,29.21681168,0.034226869
3,1,1.5,2,2.49,29.3346214,0.034089412
4,1,2.5,3,0.95,26.11448893,0.038292919
5,1,3.5,4,0.5,24.74004215,0.040420303
6,1,4.5,5,0.28,21.77123709,0.045932163
7,1,5.5,6,0.17,19.09302935,0.052375136
8,1,6.5,7,0.1,15.31526419,0.065294336
9,1,7.5,8,0.06,12.0165919,0.083218271
10,1,8.5,9,0.04,10.14734427,0.098547952
11,1,9.5,10,0.02,6.267477344,0.159553828
12,1,10.5,11,0.01,3.793473129,0.263610672
13,1,11.5,12,0,0,
,,,,,,
,,,,,,
MONOPOLO JACKPOT NORTE-SUR,,,,,,
N,a [m],n [m],AB/2 [m],R [rho],Resistivity [ohm/m],Conductivity [S/m]
1,1,0.5,1,10.22,24.08030769,0.041527709
2,1,1,1.5,3.99,25.06990938,0.039888457
3,1,1.5,2,2.05,24.15099352,0.041406164
4,1,2.5,3,0.77,21.1664805,0.04724451
5,1,3.5,4,0.35,17.3180295,0.05774329
6,1,4.5,5,0.19,14.77333945,0.067689503
7,1,5.5,6,0.12,13.47743248,0.074198109
8,1,6.5,7,0.07,10.72068493,0.093277622
9,1,7.5,8,0.05,10.01382658,0.099861925
10,1,8.5,9,0.03,7.610508203,0.13139727
11,1,9.5,10,0.02,6.267477344,0.159553828
12,1,10.5,11,0.01,3.793473129,0.263610672
13,1,11.5,12,0.01,4.51603944,0.221432964